comparison,examples,left_model,right_model,right_model_win_rate_ties_half,ci_95_low,ci_95_high,ties
base_vs_sft,100,base,sft,0.42,0.33,0.51,14
base_vs_dpo,100,base,dpo,0.525,0.425,0.62,3
base_vs_ppo,100,base,ppo,0.405,0.31,0.5,7
base_vs_grpo,100,base,grpo,0.45,0.36,0.54,10
sft_vs_dpo,100,sft,dpo,0.585,0.505,0.665,31
sft_vs_ppo,100,sft,ppo,0.515,0.46,0.57,67
sft_vs_grpo,100,sft,grpo,0.49,0.425,0.56,54
dpo_vs_ppo,100,dpo,ppo,0.48,0.405,0.555,44
dpo_vs_grpo,100,dpo,grpo,0.445,0.37,0.52,39
ppo_vs_grpo,100,ppo,grpo,0.515,0.485,0.545,91
