comparison,examples,left_model,right_model,right_model_win_rate_ties_half,ci_95_low,ci_95_high,ties
base_vs_sft,100,base,sft,0.525,0.43,0.615,5
base_vs_dpo,100,base,dpo,0.575,0.48,0.67,5
base_vs_ppo,100,base,ppo,0.45,0.355,0.545,4
base_vs_grpo,100,base,grpo,0.495,0.4,0.59,7
sft_vs_dpo,100,sft,dpo,0.605,0.515,0.695,13
sft_vs_ppo,100,sft,ppo,0.535,0.46,0.61,43
sft_vs_grpo,100,sft,grpo,0.48,0.4,0.56,30
dpo_vs_ppo,100,dpo,ppo,0.475,0.385,0.56,21
dpo_vs_grpo,100,dpo,grpo,0.41,0.325,0.495,22
ppo_vs_grpo,100,ppo,grpo,0.505,0.44,0.57,57
